Date,Date_Value,Open,High,Low,Close,Adj Close,Volume
13-06-2011,40707,186.809998,189.309998,184.860001,186.289993,186.289993,3868900
14-06-2011,40708,188.990005,190.720001,187.070007,189.960007,189.960007,3960300
15-06-2011,40709,188.039993,192.449997,185.300003,185.979996,185.979996,6317700
16-06-2011,40710,185.740005,187,181.589996,183.649994,183.649994,6032100
17-06-2011,40711,186.509995,187.389999,184.639999,186.369995,186.369995,6322200
20-06-2011,40714,185.960007,188.850006,185.570007,187.720001,187.720001,2831700
21-06-2011,40715,188.300003,195,187.119995,194.229996,194.229996,4182600
22-06-2011,40716,193.960007,195.199997,191.320007,191.630005,191.630005,3129700
23-06-2011,40717,189.5,194.460007,188.300003,194.160004,194.160004,4609600
24-06-2011,40718,193.880005,194.919998,191.350006,192.550003,192.550003,3614500
27-06-2011,40721,194.5,202.580002,194.029999,201.25,201.25,6100700
28-06-2011,40722,201.919998,202.880005,200.600006,202.350006,202.350006,3825300
29-06-2011,40723,202.669998,206.25,201.029999,204.179993,204.179993,4608900
30-06-2011,40724,200.779999,205.199997,200.5,204.490005,204.490005,4448100
01-07-2011,40725,205.550003,210.270004,203.610001,209.490005,209.490005,4008700
05-07-2011,40729,208.759995,214.449997,208.729996,213.190002,213.190002,3585200
06-07-2011,40730,212.119995,214.399994,211.009995,214.190002,214.190002,2607600
07-07-2011,40731,215.089996,217.800003,215.089996,216.740005,216.740005,3144900
08-07-2011,40732,214.300003,218.320007,213.25,218.279999,218.279999,3707900
11-07-2011,40735,216.740005,217.5,211,212.550003,212.550003,4033700
12-07-2011,40736,214.639999,215.649994,211.119995,211.229996,211.229996,3985700
13-07-2011,40737,214.699997,216.830002,212.139999,213.5,213.5,4229900
14-07-2011,40738,213.580002,215.910004,209.380005,210.380005,210.380005,3902500
15-07-2011,40739,213.080002,214.529999,209.289993,212.869995,212.869995,4072600
18-07-2011,40742,212.529999,213.389999,208.289993,211.529999,211.529999,2898100
19-07-2011,40743,213.770004,218.399994,213.770004,218.059998,218.059998,4437200
20-07-2011,40744,220.050003,220.199997,214.410004,215.550003,215.550003,3372900
21-07-2011,40745,216.740005,217.089996,211.070007,213.210007,213.210007,4545300
22-07-2011,40746,213.860001,217.949997,211.110001,216.520004,216.520004,3591700
25-07-2011,40749,215.490005,216.080002,213,213.490005,213.490005,3342800
26-07-2011,40750,214.990005,215.600006,210.350006,214.179993,214.179993,9863600
27-07-2011,40751,224.389999,227.199997,219.619995,222.520004,222.520004,12955600
28-07-2011,40752,223.270004,225.949997,220.229996,223.899994,223.899994,5354900
29-07-2011,40753,221.289993,225.75,219.509995,222.520004,222.520004,5167700
01-08-2011,40756,225,227.449997,217.660004,221.320007,221.320007,5789300
02-08-2011,40757,220.320007,222.429993,211.300003,211.699997,211.699997,6586700
03-08-2011,40758,212.970001,214.830002,205.539993,209.960007,209.960007,8197100
04-08-2011,40759,206.729996,208,201.449997,201.479996,201.479996,6579500
05-08-2011,40760,204.669998,207.320007,194.839996,202.699997,202.699997,10024000
08-08-2011,40763,196.399994,200.389999,190.050003,193.699997,193.699997,10427500
09-08-2011,40764,196.699997,205.089996,190.460007,205.089996,205.089996,10491200
10-08-2011,40765,200.759995,202.399994,193.600006,194.130005,194.130005,8757600
11-08-2011,40766,197.009995,200.850006,191.360001,198.360001,198.360001,7401900
12-08-2011,40767,200.279999,204.559998,197.210007,202.300003,202.300003,5620400
15-08-2011,40770,202.059998,205.279999,198.320007,202.949997,202.949997,4785900
16-08-2011,40771,201.139999,201.389999,194.75,197.679993,197.679993,5205900
17-08-2011,40772,198.529999,199.600006,193.740005,195.929993,195.929993,3991100
18-08-2011,40773,191.210007,191.339996,179.720001,182.520004,182.520004,8275200
19-08-2011,40774,180.289993,190,177.550003,178.929993,178.929993,7244200
22-08-2011,40777,182.830002,184.199997,177.100006,177.539993,177.539993,5313700
23-08-2011,40778,178.919998,194.839996,178.520004,193.550003,193.550003,7351600
24-08-2011,40779,193.889999,196.309998,190.169998,193.729996,193.729996,6248700
25-08-2011,40780,194.410004,196.990005,191.070007,192.029999,192.029999,3760800
26-08-2011,40781,191.240005,199.720001,189.600006,199.270004,199.270004,5310700
29-08-2011,40784,202.820007,206.669998,202.550003,206.529999,206.529999,4511000
30-08-2011,40785,205.779999,212.490005,204.320007,210.919998,210.919998,5915700
31-08-2011,40786,212.270004,216.169998,211.350006,215.229996,215.229996,7405000
01-09-2011,40787,215.279999,217.639999,211.619995,212.539993,212.539993,5275300
02-09-2011,40788,208.940002,210.690002,207,210,210,4232000
06-09-2011,40792,204.770004,216.600006,204.470001,216.179993,216.179993,6216200
07-09-2011,40793,218.800003,220.190002,214.220001,219.899994,219.899994,5295800
08-09-2011,40794,218.300003,220.639999,216.339996,217.259995,217.259995,4397900
